"YEAR","mean_beech_m2"
1,-0.395584416266633
2,0.497791208921286
3,-0.14689271464279
4,0.900263549709148
5,-0.968176578141974
6,-0.166020140866936
7,-0.879591172195661
8,1.14112276367811
9,-1.08473433169535
10,1.88854935833914
11,-0.736854267243732
12,-0.735658803104724
13,-0.704748583460472
14,1.92116828706285
15,-0.892862337384407
16,-0.176022695245225
17,-0.321049424743796
18,-0.874688255979979
19,1.46339748060233
20,-0.983747498552566
21,1.21772960003598
22,-1.00224730610373
23,0.635538564338599
24,-0.940083170875262
25,1.93937075127335
26,-0.897069750133387
27,0.695311771289046
28,-0.207271125313615
29,-0.186940763299594
